word,chinese_meaning,phonetic,part_of_speech,english_meaning
accomplish,"vt. 完成, 达到, 实现, 使完美",ә'kʌmpliʃ,,v put in effect\nv to gain with effort
accord,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",ә'kɒ:d,,n. concurrence of opinion\nn. sympathetic compatibility\nv. allow to have
accordance,"n. 一致, 和谐",ә'kɒ:dәns,,n. the act of granting rights
accordingly,"adv. 相应地, 因此, 于是",ә'kɒ:diŋli,,r. in accordance with
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",ә'kaunt,,n. a formal contractual relationship established to provide for regular banking or brokerage or business services\nn. importance or value\nn. a statement of recent transactions and the resulting balance\nn. the quality of taking advantage
accountant,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",ә'kauntәnt,,n. someone who maintains and audits business accounts
accumulate,"v. 积聚, 堆积",ә'kju:mjuleit,,v. collect or gather
accuracy,"n. 精确, 正确\n[计] 准确度",'ækjurәsi,,n. the quality of being near to the true value\nn. (mathematics) the number of significant figures given in a number
accurate,"a. 正确的, 精确的\n[经] 准确的, 精确的",'ækjurәt,,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accuse,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",ә'kju:z,,v. bring an accusation against; level a charge against
accustom,vt. 使习惯于,ә'kʌstәm,,v make psychologically or physically used (to something)
accustomed,"a. 惯常的, 习惯了的",ә'kʌstәmd,,a. (often followed by `to') in the habit of or adapted to\ns. commonly used or practiced; usual
ache,"n. 疼痛\nvi. 痛, 哀怜, 渴望",eik,,n. a dull persistent (usually moderately intense) pain\nv. have a desire for something or someone who is not present\nv. be the source of pain
achieve,"vt. 完成, 达到\nvi. 如愿以偿",ә'tʃi:v,,v. to gain with effort
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",'æsid,,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",әk'nɒlidʒ,,"v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority"
acquaint,"vt. 使认识, 介绍",ә'kweint,,v. inform
acquaintance,"n. 认识, 相识者",ә'kweintәns,,n. personal knowledge or information about someone or something\nn. a relationship less intimate than friendship\nn. a person with whom you are acquainted
acquire,"vt. 获得, 学到\n[电] 目标锁定",ә'kwaiә,,v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts
acquisition,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",.ækwi'ziʃәn,,n. the act of contracting or assuming or acquiring possession of something\nn. something acquired
acre,n. 英亩,'eikә,,n. a unit of area (4840 square yards) used in English-speaking countries\nn. a territory of western Brazil bordering on Bolivia and Peru\nn. a town and port in northwestern Israel in the eastern Mediterranean
acrobat,"n. 表演特技者, 杂技演员",'ækrәbæt,,n. an athlete who performs acts requiring skill and agility and coordination
act,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",ækt,,n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",'ækʃәn,,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful
activate,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",'æktiveit,,v. make active or more active\nv. make more adsorptive\nv. aerate (sewage) so as to favor the growth of organisms that decompose organic matter\nv. make (substances) radioactive
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",'æktiv,,n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change
activity,"n. 活动, 行动, 活跃, 活力\n[计] 活动",æk'tiviti,,n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction
actor,"n. 男演员, 行动者\n[医] 作用物, 反应物",'æktә,,n. a theatrical performer\nn. a person who acts and gets things done
actress,n. 女演员,'æktris,,n. a female actor
actual,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",'æktʃuәl,,a. presently existing in fact and not merely potential or possible\ns. taking place in reality; not pretended or imitated\ns. being or reflecting the essential or genuine character of something\ns. existing in act or fact
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",ә'kju:t,,a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees
adapt,"vt. 使适应, 改编\nvi. 适应",ә'dæpt,,"v. make fit for, or change to suit a new purpose"
add,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",æd,,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition"
addict,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",ә'dikt,,"n. someone who is so ardently devoted to something that it resembles an addiction\nn. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms\nv. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
addition,"n. 加法, 增加的人(或物)\n[计] 加法",ә'diʃәn,,n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area
additional,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",ә'diʃәnәl,,s further or added
address,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",ә'dres,,n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual
adequate,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",'ædikwәt,,a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",әd'hiә,,v. be compatible or in accordance with\nv. follow through or carry out a plan without deviation\nv. be a devoted follower or supporter\nv. stick to firmly
adjacent,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",ә'dʒeisәnt,,"s. nearest in space or position; immediately adjoining without intervening space\ns. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""\ns. near or close to but not necessarily touching"
adjective,"n. 形容词\na. 形容词的, 从属的",'ædʒiktiv,,n. a word that expresses an attribute of something\nn. the word class that qualifies nouns\na. relating to court practice and procedure as opposed to the principles of law
adjoin,"v. 邻接, 毗连",ә'dʒɒin,,v. attach or add
adjust,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",ә'dʒʌst,,v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim
administer,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",әd'ministә,,v. work in an administrative capacity; supervise or be in charge of\nv. perform (a church sacrament) ritually\nv. give or apply (medications)\nv. direct the taking of
administrate,"vt. 管理, 支配",әd'ministreit,,v work in an administrative capacity; supervise or be in charge of
administration,"n. 行政, 管理, 政府机关\n[化] 给药",әd.mini'streiʃәn,,n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)\nn. the persons (or committees or departments etc.) who make up a body for the purpose of administering something\nn. the act of administering medication\nn. the act of meting out justice according to the law
admire,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",әd'maiә,,v. feel admiration for\nv. look at with admiration
admission,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",әd'miʃәn,,n. the act of admitting someone to enter\nn. an acknowledgment of the truth of something
admit,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",әd'mit,,"v. declare to be true or admit the existence or reality or truth of\nv. allow to enter; grant entry to\nv. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\nv. afford possibility"
adolescent,"a. 青春期的, 青少年的\nn. 青少年",.ædәu'lesәnt,,n. a juvenile between the onset of puberty and maturity\na. relating to or peculiar to or suggestive of an adolescent\ns. being of the age 13 through 19\ns. displaying or suggesting a lack of maturity
adopt,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",ә'dɒpt,,"v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family"
adore,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",ә'dɒ:,,v. love intensely
adult,"n. 成人, 成虫\na. 成年的, 成熟的",'ædʌlt,,n. a fully developed person from maturity onward\nn. any mature animal\ns. (of animals) fully developed
advance,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",әd'vɑ:ns,,"n. an amount paid before it is earned\nn. increase in price or value\nv. move forward, also in the metaphorical sense\nv. bring forward for consideration or acceptance"
advanced,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",әd'vɑ:nst,,s. farther along in physical or mental development\ns. comparatively late in a course of development\ns. ahead of the times\ns. at a higher level in training or knowledge or skill
advantage,"n. 优点, 便利, 好处, 优势\nvt. 有助于",әd'vɑ:ntidʒ,,n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to
advent,"n. 来到, 来临",'ædvәnt,,n. arrival that has been awaited (especially of something momentous)\nn. the season including the four Sundays preceding Christmas
adventure,"n. 冒险, 冒险经历\nv. 冒险",әd'ventʃә,,n. a wild and exciting undertaking (not necessarily lawful)
adverb,n. 副词,'ædvә:b,,n. the word class that qualifies verbs or clauses\nn. a word that modifies something other than a noun
adverse,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",'ædvә:s,,s. contrary to your interests or welfare\ns. in an opposing direction
advertise,"vt. 做广告, 通知, 公布\nvi. 做广告",'ædvәtaiz,,v. call attention to\nv. make publicity for; try to sell (a product)
advice,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",әd'vais,,n. a proposal for an appropriate course of action
advisable,"a. 适当的, 明智的",әd'vaizәbl,,a. worthy of being recommended or suggested; prudent or wise
advise,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",әd'vaiz,,v. inform (somebody) of something
advocate,"n. 提倡者, 拥护者\nvt. 主张, 提倡",'ædvәkeit,,n. a person who pleads for a cause or propounds an idea\nn. a lawyer who pleads cases in court
aerial,"a. 空中的, 航空的, 空气的, 空想的\nn. 天线",'єәriәl,,a. existing or living or growing or operating in the air
aeroplane,n. 飞机\n[机] 飞机,'єәrәplein,,n an aircraft that has a fixed wing and is powered by propellers or jets
aesthetic,"a. 美学的, 审美的, 有美感的",i:s'θetik,,n. (philosophy) a philosophical theory as to what is beautiful\na. relating to or dealing with the subject of aesthetics\na. concerning or characterized by an appreciation of beauty or good taste\ns. aesthetically pleasing
affair,"n. 事件, 事务, 恋爱事件",ә'fєә,,n. a usually secretive or illicit sexual relationship\nn. a vaguely specified social event
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",ә'fekt,,n. the conscious subjective aspect of feeling or emotion\nv. have an effect upon\nv. act physically on; have an effect upon\nv. have an emotional or cognitive impact upon
affection,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",ә'fekʃәn,,n. a positive feeling of liking
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",ә'filieit,,n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization\nn. a subsidiary or subordinate organization that is affiliated with another organization\nv. join in an affiliation
affiliation,"n. 联系, 从属关系\n[医] 父权(判定私生儿的父亲)",ә.fili'eiʃәn,,n. a social or business relationship\nn. the act of becoming formally connected or joined
affirm,"v. 断言, 确认",ә'fә:m,,v. to declare or affirm solemnly and formally as true\nv. say yes to
affluent,"a. 丰富的, 富裕的\nn. 支流, 富人",'æfluәnt,,n. an affluent person; a person who is financially well off\ns. having an abundant supply of money or possessions of value
afford,"vt. 买得起, 足以, 给予",ә'fɒ:d,,v. be able to spare or give up\nv. have the financial means to do something or buy something\nv. afford access to
afterward,"adv. 然后, 后来",'ɑ:ftәwәd,,r happening at a time subsequent to a reference time
against,"prep. 反对, 对着, 倚靠",ә'geinst,,"prep. Abreast; opposite to; facing; towards; as, against the\n   mouth of a river; -- in this sense often preceded by over.\nprep. From an opposite direction so as to strike or come in\n   contact with; in contact with; upon; as, hail beats against the roof.\nprep. In opposition to, whether the opposition is of\n   sentiment or of action; on the other side; counter to; in contrariety\n   to; hence, adverse to; as, against reason; against law; to run a race\n   against time.\nprep. By of before the time that; in preparation for; so as\n   to be ready for the time when."
agency,"n. 代理机构, 经销商, 中介\n[化] 办事处",'eidʒәnsi,,n. an administrative unit of government\nn. a business that serves other businesses\nn. the state of being in action or exerting power
agenda,"pl. 议程, 日常工作事项\n[计] 待议事件",ә'dʒendә,,n. a temporally organized plan for matters to be attended to\nn. a list of matters to be taken up (as at a meeting)
agent,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",'eidʒәnt,,n. an active and efficient cause; capable of producing a certain effect\nn. a representative who acts on behalf of other persons or organizations\nn. a substance that exerts some force or effect\nn. a businessman who buys or sells for another in exchange for a commission
aggravate,"vt. 使恶化, 使更严重, 加重",'ægrәveit,,v make worse\nv exasperate or irritate
aggressive,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",ә'gresiv,,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""\ns. tending to spread quickly\ns. characteristic of an enemy or one eager to fight"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安\nvi. 鼓动, 煽动",'ædʒiteit,,"v. try to stir up public opinion\nv. cause to be agitated, excited, or roused\nv. change the arrangement or position of"
agony,"n. 极大的痛苦, 挣扎\n[医] 濒死苦闷; 剧痛",'ægәni,,n. intense feelings of suffering; acute mental or physical pain\nn. a state of acute pain
agreeable,"a. 令人愉快的, 同意的\n[医] 佳适的",ә'griәbl,,a. conforming to your own liking or feelings or nature\ns. prepared to agree or consent
agriculture,"n. 农业\n[机] 农业, 农学",'ægrikʌltʃә,,n. the class of people engaged in growing food
aid,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",eid,,n. a resource\nn. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose\nn. money to support a worthy person or cause
aim,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",eim,,"n. the goal intended to be attained (and which is believed to be attainable)\nn. the action of directing something at an object\nv. point or cause to go (blows, weapons, or objects such as photographic equipment) towards\nv. propose or intend"
aircraft,"n. 航空器, 飞机\n[机] 航空器",'єәkræft,,n. a vehicle that can fly
airline,"n. 航线, 航线的设备, 航空公司",'єәlain,,n. a hose that carries air under pressure\nn. a commercial enterprise that provides scheduled flights for passengers
aisle,"n. 走廊, 侧廊, 过道\n[机] 走道",ail,,n. a long narrow passage (as in a cave or woods)\nn. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores\nn. part of a church divided laterally from the nave proper by rows of pillars or columns
alarm,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",ә'lɑ:m,,n. fear resulting from the awareness of danger\nn. a device that signals the occurrence of some undesirable event\nn. an automatic signal (usually a sound) warning of danger\nv. warn or arouse to a sense of danger or call to a state of preparedness
album,"n. 粘贴簿, 唱片套\n[医] 白色物",'ælbәm,,n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc\nn. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
alcohol,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",'ælkәhɒl,,n. a liquor or brew containing alcohol as the active agent\nn. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
alert,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",ә'lә:t,,n. condition of heightened watchfulness or preparation for action\nn. a warning serves to make you more alert to danger\na. engaged in or accustomed to close observation\ns. quick and energetic
alien,"n. 外国人, 外侨\na. 外国的, 相异的",'eiljәn,,v. transfer property or ownership\ns. not contained in or deriving from the essential nature of something\ns. being or from or characteristic of another place or part of the world
alike,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",ә'laik,,a. having the same or similar characteristics\nr. equally\nr. in a like manner
alive,"a. 活着的, 活泼的, 敏感的, 热闹的",ә'laiv,,a. possessing life\ns. (often followed by `with') full of life and spirit\ns. (followed by `to' or `of') aware of\ns. capable of erupting
allege,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",ә'ledʒ,,v. report or maintain
alleviate,"vt. 减轻, 使缓和",ә'li:vieit,,"v provide physical relief, as from pain\nv make easier"
alliance,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",ә'laiәns,,n. the state of being allied or confederated\nn. a connection based on kinship or marriage or common interest\nn. an organization of people (or countries) involved in a pact or treaty\nn. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim
allied,"a. 联盟的, 联姻的, 联系起来的",ә'laid,,s. related by common characteristics or ancestry\na. of or relating to or denoting the Allies in World War II\na. of or relating to or denoting the Allies in World War I\ns. united in a confederacy or league
allocate,"vt. 分派, 分配\n[计] 分配",'ælәukeit,,v. distribute according to a plan or set apart for a special purpose
allow,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",ә'lau,,v. let have\nv. give or assign a resource to a particular person or cause\nv. allow or plan for a certain possibility; concede the truth or validity of something\nv. grant as a discount or in exchange
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许\nvt. 定量供应",ә'lauәns,,n. an amount allowed or granted (as during a given period)\nn. a sum granted as reimbursement for expenses\nn. an amount added or deducted on the basis of qualifying circumstances\nn. a permissible difference; allowing some freedom to move within limits
alloy,"n. 合金\nvt. 将...铸成合金, 减低成色\nvi. 合铸",'ælɒi. ә'lɒi,,n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten\nv. make an alloy of
ally,"n. 同盟者, 同盟国, 助手\nvt. 使联盟, 使联合, 使有关系\nvi. 结盟",'ælai. ә'lai,,"n. a friendly nation\nn. an associate who provides cooperation or assistance\nv. become an ally or associate, as by a treaty or marriage"
alone,"a. 孤独的, 单独的, 独自的\nadv. 独自地",ә'lәun,,s. isolated from others\ns. lacking companions or companionship\ns. exclusive of anyone or anything else\ns. radically distinctive and without equal
alongside,"adv. 在旁边, 靠拢着\nprep. 在...旁边, 与...在一起",ә'lɒŋ'said,,r side by side
aloud,"adv. 出声地, 大声地",ә'laud,,r. using the voice; not silently
alphabet,n. 字母\n[计] 字母表,'ælfәbit,,n. a character set that includes letters and is used to write a language
alter,v. 改变,'ɒ:ltә,,v. make an alteration to\nv. remove the ovaries of
alternate,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",'ɒ:ltәnәt,,v. go back and forth; swing back and forth between two states or conditions\nv. exchange people temporarily to fulfill certain jobs and functions\nv. do something in turns\ns. every second one of a series
alternative,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",ɒ:l'tә:nәtiv,,s. necessitating a choice between mutually exclusive possibilities\ns. pertaining to unconventional choices
although,"conj. 虽然, 尽管",ɒ:l'ðou,,conj. Grant all this; be it that; supposing that;\n   notwithstanding; though.
altitude,"n. 高度, 海拔, 高处\n[电] 高度",'æltitju:d,,n. elevation especially above sea level or above the earth's surface\nn. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)
